id,name,source,prescription_required,retail_price,discounted_price,manufacturer,quantity,packaging_form,salts
source_2-39667,Dolokind Plus Tablet,source_2,True,75.3,61.75,mankind pharma ltd,,,"Aceclofenac 100mg,Paracetamol/Acetaminophen 325mg"
source_1-65163,Dolokind Plus Tablet 15's,source_1,True,75.0,66.0,mankind pharma pvt ltd,15,Strip | Tablet,ACECLOFENAC-100MG + PARACETAMOL-325MG
source_2-39668,Dolokind Spas 10 mg/500 mg Tablet,source_2,True,25.0,20.5,mankind pharma ltd,,,"Hyoscine butylbromide 10mg,Paracetamol/Acetaminoph"
source_6-75854,Dolokind Spas H 10 Mg Tablet 10,source_6,True,33.33,29.33,mankind pharmaceuticals ltd,30 Tablet(s) in Strip,STRIP,Hyoscyamine + Paracetamol
source_2-39669,Dolokind Spas H Tablet,source_2,True,33.33,27.33,mankind pharma ltd,,,"Hyoscyamine 10mg,Paracetamol/Acetaminophen NA"
source_3-2156,DOLOKIND SPAS INJ 1ML,source_3,True,10.33,8.78,mankind pharma ltd,1,Vial INJECTION,HYOSCINE BUTYLBROMIDE 20 MG /ML
source_6-75855,Dolokind Spas Injection,source_6,True,10.33,9.09,mankind pharmaceuticals ltd,1ml Injection in Ampoule,AMPOULE,Butylscopolamine(20.0 Mg)
source_6-75856,Dolokind Spas Injection 2 Ml,source_6,True,10.99,10.99,mankind pharmaceuticals ltd,2ml Injection,INJECTION,Scopolamine(20.0 Mg)
source_6-75857,Dolokind Spas Rf Strip Of 10 Tablets,source_6,True,25.0,25.0,mankind pharmaceuticals ltd,10 Tablet(s) in Strip,STRIP,Hyoscine(10.0 Mg) + Paracetamol / Acetaminophen(500.0 Mg)
source_2-39670,Dolokind Spas RF Tablet,source_2,True,45.0,36.9,mankind pharma ltd,,,"Hyoscine butylbromide 10mg,Paracetamol/Acetaminoph"
source_1-65164,DOLOKIND SPAS RF TABLET 10'S,source_1,True,25.0,22.0,mankind pharma pvt ltd,10,Strip | Tablet,HYOSCINE BUTYLBROMIDE-10MG + PARACETAMOL-500MG
source_3-2157,DOLOKIND SPAS TAB 1X10,source_3,True,25.0,21.25,mankind pharma ltd,10,Strip,HYOSCINE BUTYLBROMIDE 10 MG+PARACETAMOL/ACETAMINOPHEN 500 MG
source_1-65165,Dolokind Spas Tablet 10's,source_1,True,27.5,24.2,mankind pharma pvt ltd,10,Strip | Tablet,HYOSCINE BUTYLBROMIDE-10MG + PARACETAMOL-500MG
source_6-75858,Dolokind Sr 200mg Strip Of 10 Tablets,source_6,True,69.49,61.15,mankind pharmaceuticals ltd,10 Tablet(s) in Strip,STRIP,Aceclofenac(200.0 Mg)
source_3-2158,DOLOKIND SR TAB 1X10,source_3,True,47.48,40.36,mankind pharma ltd,10,Strip TABLET,ACECLOFENAC 200 MG SUSTAINED RELEASE
source_2-39671,Dolokind - SR Tablet,source_2,True,47.48,38.93,mankind pharma ltd,,,Aceclofenac 200mg
source_1-65166,Dolokind SR Tablet 10's,source_1,True,69.0,60.7,mankind pharma pvt ltd,10,Strip | Tablet,ACECLOFENAC-200MG
source_1-65167,Dolokind Tablet 10's,source_1,True,38.5,33.9,mankind pharma pvt ltd,10,Strip | Tablet,ACECLOFENAC-100MG
source_6-75859,Dolokind Tube Of 20gm Gel,source_6,False,93.17,85.72,mankind pharmaceuticals ltd,20g Gel in Tube,TUBE,Capsaicin(0.025 %W/W) + Menthol(5.0 %W/W) + Diclofenac Sodium(1.0 %W/W) + Methyl Salicylate(5.0 %W/W)
source_6-75860,Dolokoff Dx Syrup 100 Ml,source_6,True,90.0,90.0,micro labs,100ml Syrup in Bottle,BOTTLE,Dextromethorphan
source_1-65168,Dolokoff-DX Syrup 100 ml,source_1,True,82.55,72.644,micro labs ltd,100,Bottle | Syrup,DEXCHLORPHENIRAMINE-4MG + DEXTROMETHORPHAN-10MG
source_6-75861,Dolokoff Syrup 100ml,source_6,True,69.5,61.16,micro labs,100ml Syrup in Bottle,BOTTLE,Chlorpheniramine + Codeine
source_6-75862,Dolokoff Syrup 60ml,source_6,True,40.88,35.97,micro labs,60ml Syrup in Bottle,BOTTLE,Chlorpheniramine + Codeine
source_7-90462,Dololax 100mg Tablet,source_7,True,28.0,24.39,alpa laboratories ltd,10.0 tablets in 1 strip,,Aceclofenac (100mg)
source_6-75863,Dololax Tablet,source_6,True,9.4,8.27,helax healthcare,10 Tablet(s) in Strip,STRIP,Aceclofenac(100.0 Mg)
source_7-90463,Dololsac 50mg Capsule DR,source_7,True,,,sac pharmaceuticals,,,Diacerein (50mg)
source_6-75864,Dololsac Dr Capsules,source_6,True,115.0,101.2,cipla ltd,10 Capsule(s) in Strip,STRIP,Diacerein
source_6-75865,Dololup 20mg Injection 2ml,source_6,True,8.0,7.04,lupin,2ml Injection,INJECTION,Piroxicam(20.0 Mg)
source_7-90464,Dololup 20mg Tablet DT,source_7,True,6.37,6.2,lupin ltd,10.0 tablet dt in 1 strip,,Piroxicam (20mg)
source_6-75866,Dololup Dt 20 Mg Strip Of 10 Tablets,source_6,True,6.37,5.61,lupin,10 Tablet(s) in Strip,STRIP,Piroxicam(20.0 Mg)
source_7-90465,Dolomade SP 100mg/325mg/15mg Tablet,source_7,True,99.0,86.4,made inn healthcare pvt ltd,10.0 tablets in 1 strip,,Aceclofenac (100mg) + Paracetamol (325mg) + Serratiopeptidase (15mg)
source_7-90466,Dolomade TH 4mg/100mg/325mg Tablet,source_7,True,149.0,144.0,made inn healthcare pvt ltd,10.0 tablets in 1 strip,,Thiocolchicoside (4mg) + Aceclofenac (100mg) + Paracetamol (325mg)
source_6-75867,Dolomark Ds Bottle Of 60ml Suspension,source_6,False,39.6,34.85,unimarck pharma india ltd,60ml Suspension in Bottle,BOTTLE,Paracetamol / Acetaminophen(250.0 Mg)
source_7-90467,Dolomark Oral Suspension,source_7,True,34.51,33.5,mcw healthcare,60.0 ml in 1 bottle,,Ibuprofen (100mg) + Paracetamol (125mg)
source_7-90468,Dolomas 100mg/325mg/250mg Tablet MR,source_7,True,74.0,71.7,mas life science,10.0 tablet mr in 1 strip,,Aceclofenac (100mg) + Paracetamol (325mg) + Chlorzoxazone (250mg)
source_7-90469,Dolomas 200mg Tablet SR,source_7,True,52.0,45.36,mas life science,10.0 tablet sr in 1 strip,,Aceclofenac (200mg)
source_7-90470,Dolomas P 100mg/325mg Tablet,source_7,True,43.0,37.53,mas life science,10.0 tablets in 1 strip,,Aceclofenac (100mg) + Paracetamol (325mg)
source_7-90471,Dolomas SP 100mg/325mg/10mg Tablet,source_7,True,93.0,81.18,mas life science,10.0 tablets in 1 strip,,Aceclofenac (100mg) + Paracetamol (325mg) + Serratiopeptidase (10mg)
source_7-90472,Dolomax 650mg Tablet,source_7,True,126.0,122.0,arist health care,10.0 tablets in 1 strip,,Doxofylline (650mg)
source_7-90473,Dolomec 90 Tablet,source_7,True,114.0,111.0,mcw healthcare,10.0 tablets in 1 strip,,Etoricoxib (90mg)
source_7-90474,Dolomec Ace Tablet,source_7,True,31.5,30.5,mcw healthcare,10.0 tablets in 1 strip,,Aceclofenac (100mg) + Paracetamol (325mg)
source_6-75868,Dolomec Ace Tablets,source_6,True,33.85,29.79,mcw healthcare,10 Tablet(s) in Strip,STRIP,Aceclofenac(100.0 Mg) + Paracetamol / Acetaminophen(325.0 Mg)
source_2-39675,Dolomec DP 25mg Injection,source_2,True,14.4,11.81,mcw healthcare,,,Diclofenac 25mg
source_6-75869,Dolomec Mf Plus Suspension 60ml,source_6,True,37.0,31.45,mcw healthcare,60ml Suspension in Bottle,BOTTLE,Mefenamic Acid + Paracetamol
source_2-39676,Dolomec MF Plus Syrup,source_2,True,37.99,31.15,mcw healthcare,,,"Mefenamic Acid 100mg,Paracetamol/Acetaminophen 125"
source_6-75870,Dolomec Mf Suspension 60ml,source_6,True,29.11,25.62,mcw healthcare,60ml Suspension in Bottle,BOTTLE,Mefenamic Acid + Paracetamol
source_7-90476,Dolomec MF Syrup,source_7,True,28.35,27.5,mcw healthcare,60.0 ml in 1 bottle,,Mefenamic Acid (50mg/5ml) + Paracetamol (125mg/5ml)
source_7-90477,Dolomec MR Tablet,source_7,True,212.0,206.0,mcw healthcare,10.0 tablets in 1 strip,,Etoricoxib (60mg) + Thiocolchicoside (4mg)
source_6-75871,Dolomec Relief Gel 30 Gm,source_6,True,62.0,54.56,mcw healthcare,30g Gel in Tube,TUBE,
source_1-65176,Dolomec SP Tablet,source_1,True,69.8,61.424,mcw healthcare,10,Strip | Tablet,ACECLOFENAC-100MG + PARACETAMOL-325MG + SERRATIOPEPTIDASE-15MG
source_6-75872,Dolomec Sp Tablets,source_6,True,69.8,61.42,mcw healthcare,10 Tablet(s) in Strip,STRIP,Aceclofenac + Paracetamol + Serratiopeptidase
source_6-75873,Dolomec Strip Of 10 Tablets,source_6,True,11.25,9.9,mcw healthcare,10 Tablet(s) in Strip,STRIP,Ibuprofen(400.0 Mg) + Methionine(50.0 Mg) + Paracetamol / Acetaminophen(500.0 Mg)
source_1-65177,Dolomec Suspension,source_1,True,20.4,17.952,mcw healthcare,60,Bottle | Suspension,IBUPROFEN-100MG + PARACETAMOL-162.5MG
source_6-75874,Dolomec Suspension 60 Ml,source_6,True,20.4,20.4,mcw healthcare,60ml Suspension in Bottle,BOTTLE,
source_2-39680,Dolomec Tablet,source_2,True,8.43,6.91,mcw healthcare,,,"Ibuprofen 400mg,Methionine 50mg,Paracetamol/Acetam"
source_7-90481,Dolomed 100 mg/125 mg Suspension,source_7,True,10.96,10.6,comed chemicals ltd,60.0 ml in 1 bottle,,Ibuprofen (100mg) + Paracetamol (125mg)
source_7-90482,Dolomed 100 mg/125 mg Syrup,source_7,True,10.96,10.6,comed chemicals ltd,50.0 ml in 1 bottle,,Ibuprofen (100mg) + Paracetamol (125mg)
source_6-75875,Dolomed 100mg Suspension 60ml,source_6,True,10.96,9.64,comed chemicals pvt ltd,60ml Suspension in Bottle,BOTTLE,Ibuprofen + Paracetamol
source_6-75876,Dolomed 400/325 Mg Strip Of 10 Tablets,source_6,True,14.5,14.5,comed chemicals pvt ltd,10 Tablet(s) in Strip,STRIP,Ibuprofen(400.0 Mg) + Paracetamol / Acetaminophen(325.0 Mg)
source_7-90483,Dolomed 400mg/325mg Tablet,source_7,True,14.5,14.1,comed chemicals ltd,10.0 tablets in 1 strip,,Ibuprofen (400mg) + Paracetamol (325mg)
source_6-75877,Dolomed 600mg Tablet,source_6,True,15.9,15.9,comed chemicals pvt ltd,10 Tablet(s) in Strip,STRIP,Ibuprofen(600.0 Mg) + Paracetamol / Acetaminophen(325.0 Mg)
source_6-75878,Dolomed 650mg Strip Of 10 Tablets,source_6,False,14.5,14.5,comed chemicals pvt ltd,10 Tablet(s) in Strip,STRIP,Paracetamol / Acetaminophen(650.0 Mg)
source_6-75879,Dolomed 650mg Strip Of 15 Tablets,source_6,False,30.8,27.1,comed chemicals pvt ltd,15 Tablet(s) in Strip,STRIP,Paracetamol / Acetaminophen(650.0 Mg)
source_7-90484,Dolomed 650mg Tablet,source_7,False,33.5,24.93,comed chemicals ltd,15.0 tablets in 1 strip,,Paracetamol (650mg)
source_1-65178,Dolomed-650 Tablet 15's,source_1,False,33.5,29.5,comed chemicals ltd,15,Strip | Tablet,PARACETAMOL-650MG
source_6-75880,Dolomed D Tablet,source_6,True,14.5,12.76,comed chemicals pvt ltd,10 Tablet(s) in Strip,STRIP,Ibuprofen(400.0 Mg) + Paracetamol / Acetaminophen(500.0 Mg)
source_6-75881,Dolomed Gel 30gm,source_6,False,31.5,27.72,comed chemicals pvt ltd,30g Gel in Tube,TUBE,Pain Relif
source_1-65179,Dolomed-IBU Tablet 10's,source_1,True,17.0,14.9,comed chemicals ltd,10,Strip | Tablet,IBUPROFEN-400MG + PARACETAMOL-325MG
source_6-75882,Dolomed Mr Strip Of 10 Tablets,source_6,True,18.15,18.15,comed chemicals pvt ltd,10 Tablet(s) in Strip,STRIP,Chlorzoxazone(250.0 Mg) + Ibuprofen(400.0 Mg) + Paracetamol / Acetaminophen(325.0 Mg)
source_7-90486,Dolomed MR Tablet,source_7,True,24.05,23.0,comed chemicals ltd,10.0 tablets in 1 strip,,Ibuprofen (400mg) + Paracetamol (325mg) + Chlorzoxazone (250mg)
source_1-65180,Dolomed MR Tablet 10's,source_1,True,24.0,21.1,comed chemicals ltd,10,Strip | Tablet,CHLORZOXAZONE-250MG + IBUPROFEN-400MG + PARACETAMOL-325MG
source_6-75883,Dolomed Strip Of 10 Tablets,source_6,True,15.9,15.9,comed chemicals pvt ltd,10 Tablet(s) in Strip,STRIP,Ibuprofen(400.0 Mg) + Paracetamol / Acetaminophen(500.0 Mg)
source_6-75884,Dolomed Strip Of 20 Tablets,source_6,True,15.08,13.27,comed chemicals pvt ltd,20 Tablet(s) in Strip,STRIP,Ibuprofen + Paracetamol
source_6-75885,Dolomed T 100mg Injection,source_6,True,15.0,13.2,comed chemicals pvt ltd,2ml Injection,INJECTION,Tramadol(100.0 Mg)
source_7-90487,Dolomed T 100mg Tablet SR,source_7,True,,,comed chemicals ltd,,,Tramadol (100mg)
source_6-75886,Dolomed T 37.5 Mg Capsule 10,source_6,True,100.0,88.0,comed chemicals pvt ltd,10 Capsule(s) in Strip,STRIP,
source_6-75887,Dolomed T 50mg Injection,source_6,True,12.0,10.56,comed chemicals pvt ltd,1ml Injection,INJECTION,Tramadol(50.0 Mg)
source_6-75888,Dolomed T Sr 100mg Tablets,source_6,True,100.0,88.0,comed chemicals pvt ltd,10 Tablet(s) in Strip,STRIP,Tramadol(50.0 Mg)
source_1-65181,Dolomed-T Tablet 10's,source_1,True,53.5,47.1,comed chemicals ltd,10,Strip | Tablet,PARACETAMOL-325MG + TRAMADOL-37.5MG
source_1-65182,Dolomed Tablet 10's,source_1,True,15.5,13.6,comed chemicals ltd,10,Strip | Tablet,IBUPROFEN-400MG + PARACETAMOL-325MG
source_7-90488,Dolomeg 200mg/325mg Tablet,source_7,True,48.0,46.5,egzeon pharmaceuticals pvt ltd,10.0 tablets in 1 strip,,Diclofenac (200mg) + Paracetamol (325mg)
source_7-90489,Dolomeg MR 250mg/200mg/325mg Tablet,source_7,True,55.0,53.3,egzeon pharmaceuticals pvt ltd,10.0 tablets in 1 strip,,Chlorzoxazone (250mg) + Diclofenac (200mg) + Paracetamol (325mg)
source_7-90490,Dolomeg SP 200mg/325mg/10mg Tablet,source_7,True,75.0,72.7,egzeon pharmaceuticals pvt ltd,10.0 tablets in 1 strip,,Diclofenac (200mg) + Paracetamol (325mg) + Serratiopeptidase (10mg)
source_7-90491,Dolomeg TH 4mg/200mg Tablet,source_7,True,182.0,176.0,egzeon pharmaceuticals pvt ltd,10.0 tablets in 1 strip,,Thiocolchicoside (4mg) + Diclofenac (200mg)
source_7-90492,Dolomet 500mg Tablet,source_7,False,7.0,5.3,symet drugs ltd,10.0 tablets in 1 strip,,Paracetamol (500mg)
source_1-65184,Dolomide Tablet 10's,source_1,True,52.0,45.8,ranbaxy pharma ltd,10,Strip | Tablet,NIMESULIDE-100MG + PARACETAMOL-500MG
source_6-75889,Dolomine 500mg Tablets,source_6,False,74.5,65.56,cassel research laboratories,10 Tablet(s) in Strip,STRIP,Paracetamol / Acetaminophen(500.0 Mg)
source_6-75890,Dolomine 650mg Tablet,source_6,False,18.0,15.3,cassel research laboratories,10 Tablet(s) in Strip,STRIP,Paracetamol / Acetaminophen(650.0 Mg)
source_1-65185,Dolomine 650 mg Tablet 10's,source_1,False,18.0,15.84,cassel research laboratories pvt ltd,10,Strip | Tablet,PARACETAMOL-650MG
source_6-75891,Dolomine Plus Tablets,source_6,True,20.79,17.67,cassel research laboratories,10 Tablet(s) in Strip,STRIP,Aceclofenac + Paracetamol
source_2-39682,Dolomine Tablet,source_2,True,57.0,46.74,axon drugs pvt ltd,,,"Doxylamine NA,Vitamin B6 (Pyridoxine) NA"
source_1-65186,Dolomol 125mg Oral Suspension,source_1,False,21.25,18.7,micro labs ltd,60,Bottle | Suspension,
source_6-75892,Dolomol 125 Mg Syrup 60 Ml,source_6,False,13.75,13.75,micro labs,60ml Syrup in Bottle,BOTTLE,Paracetamol / Acetaminophen(125.0 Mg)
source_2-39683,Dolomol 250mg/5ml Syrup,source_2,True,29.55,24.23,micro labs ltd,,,Paracetamol/Acetaminophen 250mg/5ml
source_6-75893,Dolomol 250mg Bottle Of 60ml Suspension,source_6,False,37.71,32.05,micro labs,60ml Suspension in Bottle,BOTTLE,Paracetamol / Acetaminophen(250.0 Mg/5ml)
source_6-75894,Dolomol 500mg Tablet,source_6,False,9.96,9.96,micro labs,10 Tablet(s) in Strip,STRIP,Paracetamol / Acetaminophen(500.0 Mg)
source_6-75895,Dolomol 650 Mg Tablet 10,source_6,False,2.0,2.0,pangea pharma ltd,10 Tablet(s) in Strip,STRIP,
source_2-39684,DOLOMOL IV 100ML,source_2,True,279.0,228.78,micro labs ltd,,,
source_7-90494,Dolomon-SP Tablet,source_7,True,119.0,115.0,m d pharmaceuticals pvt ltd,10.0 tablets in 1 strip,,Aceclofenac (100mg) + Paracetamol (325mg) + Serratiopeptidase (15mg)
source_1-65189,Dolomon TH 4 Tablet,source_1,True,175.0,154.0,m d pharmaceuticals pvt ltd,10,Strip | Tablet,ACECLOFENAC-100MG + THIOCOLCHICOSIDE-4MG
source_1-65190,Dolomor Cold DS Suspension 60 ml,source_1,True,90.0,79.2,unipark biotech pvt ltd,60,Bottle | Oral Suspension,CHLORPHENIRAMINE-2MG + PARACETAMOL-250MG + PHENYLEPHRINE-5MG
source_1-65191,Dolomor Cold Susension 60 ml,source_1,True,75.0,66.0,unipark biotech pvt ltd,60,Bottle | Suspension,CHLORPHENIRAMINE-1MG + PARACETAMOL-125MG + PHENYLEPHRINE-2.5MG
source_1-65192,Dolomor Gel 30 gm,source_1,False,99.0,87.1,unipark biotech pvt ltd,30,Tube | Gel,DICLOFENAC-1%W/W + LINSEED OIL-3%W/W + MENTHOL-5%W/W + METHYL SALICYLATE-10%W/W
source_1-65193,Dolomor Gel 50 gm,source_1,False,170.0,149.6,unipark biotech pvt ltd,50,Tube | Gel,DICLOFENAC-1%W/W + LINSEED OIL-3%W/W + MENTHOL-5%W/W + METHYL SALICYLATE-10%W/W
source_1-65194,Dolomor MR Tablet 10's,source_1,True,91.0,80.1,unipark biotech pvt ltd,10,Strip | Tablet,CHLORZOXAZONE-250MG + DICLOFENAC-50MG + PARACETAMOL-325MG
source_1-65195,Dolomor-P Tablet 10's,source_1,True,50.0,44.0,unipark biotech pvt ltd,10,Strip | Tablet,DICLOFENAC-50MG + PARACETAMOL-325MG
source_1-65196,Dolomor Plus Tablet 10's,source_1,True,69.0,60.7,unipark biotech pvt ltd,10,Strip | Tablet,CAFFEINE-30MG + DIPHENHYDRAMINE-25MG + PARACETAMOL-325MG + PHENYLEPHRINE-5MG
source_1-65197,Dolomor-SP Tablet 10's,source_1,True,81.0,71.3,unipark biotech pvt ltd,10,Strip | Tablet,DICLOFENAC-50MG + PARACETAMOL-325MG + SERRATIOPEPTIDASE-10MG
source_1-65198,Dolomor-T Tablet 10's,source_1,True,149.0,131.1,unipark biotech pvt ltd,10,Strip | Tablet,DICLOFENAC-50MG + TOLPERISONE-150MG
source_6-75896,Dolona Injection,source_6,True,5.16,4.54,agron remedies,3ml Injection,INJECTION,Diclofenac(75.0 Mg)
source_6-75897,Dolona P Tablets,source_6,True,104.0,91.52,agron remedies,10 Tablet(s) in Strip,STRIP,Diclofenac Potassium + Paracetamol
source_1-65199,Dolonac Gel 30 gm,source_1,False,149.5,131.6,sumac pharma pvt ltd,30,Tube | Gel,DICLOFENAC SODIUM-1%W/W + LINSEED OIL-3%W/W%METHYL SALICYLATE + MENTHOL-5%W/W
source_7-90496,Dolonac-P Tablet,source_7,True,45.0,43.6,baroque pharmaceuticals pvt ltd,10.0 tablets in 1 strip,,Diclofenac (50mg) + Paracetamol (325mg)
source_1-65201,Dolonac PC Tablet,source_1,True,52.0,45.76,baroque pharmaceuticals pvt ltd,10,Strip | Tablet,CHLORZOXAZONE-500MG + DICLOFENAC-50MG + PARACETAMOL-325MG
source_1-65202,Dolonar 20mg Tablet DT,source_1,True,47.0,41.36,zennar life sciences,10,Strip | Tablet,PIROXICAM-20MG
source_7-90499,Dolonase 50 mg/10 mg Tablet,source_7,True,53.93,52.3,profess health products pvt ltd,10.0 tablets in 1 strip,,Diclofenac (50mg) + Serratiopeptidase (10mg)
source_7-90500,Dolonase A Tablet,source_7,True,30.75,29.8,profess health products pvt ltd,10.0 tablets in 1 strip,,Aceclofenac (100mg) + Paracetamol (325mg)
source_6-75898,Dolonase A Tablet 10,source_6,True,35.0,30.8,profess health products pvt ltd,10 Tablet(s) in Strip,STRIP,Aceclofenac(100.0 Mg) + Paracetamol / Acetaminophen(325.0 Mg)
source_6-75899,Dolonase Sp Tablet 10,source_6,True,82.0,82.0,profess health products pvt ltd,10 Tablet(s) in Strip,STRIP,Diclofenac(50.0 Mg) + Serratiopeptidase(10.0 Mg)
source_6-75900,Dolonase Spray 60 Ml,source_6,True,175.0,154.0,profess health products pvt ltd,60ml Spray in Bottle,BOTTLE,
source_6-75901,Dolonase Strip Of 10 Tablets,source_6,True,64.0,64.0,profess health products pvt ltd,10 Tablet(s) in Strip,STRIP,Diclofenac(50.0 Mg) + Serratiopeptidase(10.0 Mg)
source_1-65203,Dolonase Tablet 10's,source_1,True,64.0,56.3,profess health product pvt ltd,10,Strip | Tablet,DICLOFENAC-50MG + SERRATIOPEPTIDASE-10MG
source_7-90501,Dolonat Tablet,source_7,True,,,pfizer ltd,,,Tramadol (37.5mg) + Paracetamol (325mg)
source_1-65204,DOLONAT TABLET,source_1,True,53.0,46.64,phizer ltd,10,Strip | Tablet,PARACETAMOL-325MG + TRAMADOL-37.5MG
source_6-75903,Dolonek Excel Gel,source_6,True,60.0,52.8,kentreck laboratories pvt ltd,30g Gel in Tube,TUBE,Benzyl Alcohol + Diclofenac + Menthol + Methyl Salicylate
source_6-75904,Doloneuron 100mg Strip Of 10 Tablets,source_6,True,140.0,123.2,pulse pharmaceuticals pvt ltd,10 Tablet(s) in Strip,STRIP,Vitamin B12 / Mecobalamin / Cynocobalamin / Methylcobalamin(500.0 Mcg) + Gabapentin(100.0 Mg)
source_6-75905,Doloneuron 100mg Strip Of 15 Tablets,source_6,True,153.11,134.74,pulse pharmaceuticals pvt ltd,15 Tablet(s) in Strip,STRIP,Vitamin B12 / Mecobalamin / Cynocobalamin / Methylcobalamin(500.0 Mcg) + Gabapentin(100.0 Mg)
source_7-90502,Doloneuron 100 Tablet,source_7,True,168.0,141.3,pulse pharmaceuticals,15.0 tablets in 1 strip,,Gabapentin (100mg) + Methylcobalamin (500mcg)
source_1-65205,Doloneuron 100 Tablet 15's,source_1,True,168.0,147.8,pulse pharmaceuticals,15,Strip | Tablet,GABAPENTIN-100MG + METHYLCOBALAMIN-500MCG
source_6-75906,Doloneuron 300mg Strip Of 10 Tablets,source_6,True,190.32,177.0,pulse pharmaceuticals pvt ltd,10 Tablet(s) in Strip,STRIP,Gabapentin(300.0 Mg) + Vitamin B12 / Mecobalamin / Cynocobalamin / Methylcobalamin(500.0 Mcg)
source_7-90503,Doloneuron 300 Tablet,source_7,True,205.5,184.5,pulse pharmaceuticals,10.0 tablets in 1 strip,,Gabapentin (300mg) + Methylcobalamin (500mcg)
source_1-65206,Doloneuron 300 Tablet 10's,source_1,True,205.5,180.8,pulse pharmaceuticals,10,Strip | Tablet,GABAPENTIN-300MG + METHYLCOBALAMIN-500MCG
source_6-75907,Doloneuron Nt 100/10mg Strip Of 10 Tablets,source_6,True,79.0,69.52,pulse pharmaceuticals pvt ltd,10 Tablet(s) in Strip,STRIP,Nortriptyline(10.0 Mg) + Gabapentin(100.0 Mg)
source_7-90504,Doloneuron NT 100 Tablet,source_7,True,95.0,85.5,pulse pharmaceuticals,10.0 tablets in 1 strip,,Gabapentin (100mg) + Nortriptyline (10mg)
source_1-65207,Doloneuron NT 100 Tablet 10's,source_1,True,95.0,83.6,pulse pharmaceuticals,10,Strip | Tablet,GABAPENTIN-100MG + NORTRIPTYLINE-10MG
source_7-90505,Doloneuron-NT 200 Tablet,source_7,True,174.5,144.0,pulse pharmaceuticals,10.0 tablets in 1 strip,,Gabapentin (200mg) + Nortriptyline (10mg)
source_1-65208,Doloneuron-NT 200 Tablet 10's,source_1,True,174.5,153.6,pulse pharmaceuticals,10,Strip | Tablet,GABAPENTIN-200MG + NORTRIPTYLINE-10MG
source_6-75908,Doloneuron Nt 400mg Strip Of 10 Tablets,source_6,True,237.0,208.56,pulse pharmaceuticals pvt ltd,10 Tablet(s) in Strip,STRIP,Gabapentin(400.0 Mg) + Nortriptyline(10.0 Mg)
source_1-65209,Doloneuron-NT Capsule 10's,source_1,True,284.5,250.4,pulse pharmaceuticals,10,Strip | Capsule,GABAPENTIN-400MG + NORTRIPTYLINE-10MG
source_2-39690,Doloneuron NT Tablet,source_2,True,86.5,70.93,pulse pharmaceuticals,,,"Gabapentin 400mg,Nortriptyline 10mg"
source_6-75909,Doloneuron Pg 75mg Capsule,source_6,True,79.0,79.0,pulse pharmaceuticals pvt ltd,10 Capsule(s) in Strip,STRIP,Vitamin B12 / Mecobalamin / Cynocobalamin / Methylcobalamin(750.0 Mcg) + Pregabalin(75.0 Mg)
source_2-39691,Doloneuron PG 75mg Capsule,source_2,True,79.0,64.78,pulse pharmaceuticals,,,"Methylcobalamin/Mecobalamin 750mcg,Pregabalin 75mg"
source_2-39692,Dolonex 10mg Capsule,source_2,True,69.77,57.21,pfizer ltd,,,Piroxicam 10mg
source_6-75911,Dolonex 20mg Ampoule Of 1ml Injection,source_6,True,31.85,26.44,pfizer ltd,1ml Injection in Ampoule,AMPOULE,Piroxicam(20.0 Mg)
source_2-39693,Dolonex 20mg Capsule,source_2,True,196.22,160.9,pfizer ltd,,,Piroxicam 20mg
source_6-75912,Dolonex 20mg Strip Of 10 Capsules,source_6,True,189.47,166.73,pfizer ltd,10 Capsule(s) in Strip,STRIP,Piroxicam(20.0 Mg)
source_1-65210,Dolonex 40 mg IM Injection 5 x 2 ml,source_1,True,320.0,281.6,pfizer ltd,5 x 2,Box | Injection,PIROXICAM-40MG
source_2-39694,DOLONEX 40 MG INJECTION,source_2,True,165.0,135.3,pfizer ltd,,,Piroxicam 40mg
source_6-75913,Dolonex 5mg Gel 15gm,source_6,False,79.75,70.18,pfizer ltd,15g Gel in Tube,TUBE,Piroxicam(5.0 Mg)
source_6-75914,Dolonex Dt 10mg Strip Of 15 Tablets,source_6,True,178.4,156.99,pfizer ltd,15 Tablet(s) in Strip,STRIP,Piroxicam(10.0 Mg)
source_3-2159,DOLONEX DT 20MG TAB 1X15,source_3,True,237.0,201.45,pfizer pharmaceutical india pvt ltd,15,Strip,PIROXICAM 20 MG
source_6-75915,Dolonex Dt 20mg Tablet,source_6,True,215.82,189.92,pfizer ltd,10 Tablet(s) in Strip,STRIP,Piroxicam(20.0 Mg)
source_2-39695,Dolonex DT 20mg Tablet,source_2,True,237.0,194.34,pfizer ltd,,,Piroxicam 20mg
source_1-65211,Dolonex DT 20 mg Tablet 10's,source_1,True,215.5,189.6,pfizer ltd,10,Strip | Tablet,PIROXICAM-20MG
source_1-65212,Dolonex DT 20 mg Tablet 15's,source_1,True,237.0,208.6,pfizer ltd,15,Strip | Tablet,PIROXICAM-20MG
source_6-75916,Dolonex Dt 20 Strip Of 15 Tablets,source_6,True,237.0,208.56,pfizer ltd,15 Tablet(s) in Strip,STRIP,Piroxicam(20.0 Mg)
source_6-75917,Dolonex E 120 Mg Strip Of 15 Tablets,source_6,True,306.87,270.05,pfizer ltd,15 Tablet(s) in Strip,STRIP,Etoricoxib(120.0 Mg)
